销量排名,书名,作者,作者姓名,作者国家,出版年份,出版社,原价,折后价,折扣,百分比折扣,评论数,简介,match_text,所属分类
23,数亦有道:Python数据科学指南,王树义翟羽佳著,王树义翟羽佳著,,2021,人民邮电出版社,71.0,31.43,4.4,44%,374,1.Python数据科学指南，结合数据科学的具体应用场景，由浅深的引导读者学习。 2.以问题为导向，用具体应用场景讲明白如何选择、使用合适的数据科学工具。 3.以生动的案例引出问题解决方法，提供完整代码和步骤流程，可参考，可上手。 4.深浅出，对新手友好，本书尽量不使用数学公式和晦涩的术语。 5.提供同步讲解视频，帮助读者加深对书中难、重的理解。,数亦有道:python数据科学指南 1.python数据科学指南，结合数据科学的具体应用场景，由浅深的引导读者学习。 2.以问题为导向，用具体应用场景讲明白如何选择、使用合适的数据科学工具。 3.以生动的案例引出问题解决方法，提供完整代码和步骤流程，可参考，可上手。 4.深浅出，对新手友好，本书尽量不使用数学公式和晦涩的术语。 5.提供同步讲解视频，帮助读者加深对书中难、重的理解。,数据分析与可视化
24,Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程第2版（当当套装共3册）,[美]埃里克・马瑟斯,埃里克・马瑟斯,美,2024,人民邮电出版社,268.6,134.3,5.0,50%,2096,《Python编程 从入门到实践 第3版》 编程入门就选蟒蛇书！ 【经典】Python入门经典，常居Amazon等编程类图书TOP榜 【热销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，Amazon 4.7 星评 【升级】代码基于Python3.11升级，涵盖语言新特性 【资源丰富】随书代码 PPT课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线开发人员审读全书 学完蟒蛇书，你能打下坚实的编程基础、习得优秀的编程习惯，更会构建让自己终身受益的计算思维，而这也是AIGC时代与AI共生的基本技能。 《Python编程快速上手 让繁琐工作自动化 第2版》 Python编程从入门到实践姊妹篇，零基础自学Python教程书籍。 原版图书美亚评分4.7星，众多高校选用，初版译著豆瓣评分8.9分！ 1.升级版，第1版,python编程三剑客第3版：python编程从入门到实践第3版+快速上手第2版+极客项目编程第2版（当当套装共3册） 《python编程 从入门到实践 第3版》 编程入门就选蟒蛇书！ 【经典】python入门经典，常居amazon等编程类图书top榜 【热销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，amazon 4.7 星评 【升级】代码基于python3.11升级，涵盖语言新特性 【资源丰富】随书代码 ppt课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线开发人员审读全书 学完蟒蛇书，你能打下坚实的编程基础、习得优秀的编程习惯，更会构建让自己终身受益的计算思维，而这也是aigc时代与ai共生的基本技能。 《python编程快速上手 让繁琐工作自动化 第2版》 python编程从入门到实践姊妹篇，零基础自学python教程书籍。 原版图书美亚评分4.7星，众多高校选用，初版译著豆瓣评分8.9分！ 1.升级版，第1版,Python基础入门
25,智能优化算法改进：从入门到MATLAB、Python编程实践,陈克伟，魏曙光，范旭,陈克伟，魏曙光，范旭,,2024,清华大学出版社,99.0,94.1,9.5,95%,125,（1）聚焦经典，掌握精髓：以粒子群算法切入，详解数十种实用改进策略（混沌映射、随机变异、多策略融合）。（2）双语言实现，零障碍学习：所有算法均提供MATLAB+Python完整可运行代码，直接验证、快速上手。（3）案例驱动，解决真问题：包含完整建模过程与改进应用案例（如函数寻优、算法对比测试），省时省力。（4）内容扎实，即查即用：涵盖基准测试集、评价指标、深入改进方案（自适应权重、竞争学习、粒子调度），学生做研究、工程师搞开发都能用。,智能优化算法改进：从入门到matlab、python编程实践 （1）聚焦经典，掌握精髓：以粒子群算法切入，详解数十种实用改进策略（混沌映射、随机变异、多策略融合）。（2）双语言实现，零障碍学习：所有算法均提供matlab+python完整可运行代码，直接验证、快速上手。（3）案例驱动，解决真问题：包含完整建模过程与改进应用案例（如函数寻优、算法对比测试），省时省力。（4）内容扎实，即查即用：涵盖基准测试集、评价指标、深入改进方案（自适应权重、竞争学习、粒子调度），学生做研究、工程师搞开发都能用。,Python基础入门
26,Python项目实战从入门到精通,方健;孙悦;邵芳;等,方健;孙悦;邵芳;等,,2020,机械工业出版社,54.5,59.9,11.0,110%,129,《Python项目实战从门到精通》全面讲述了Python的基础知识和相关发技术。全书分为三部分，共10章。第壹部分为基础篇（第1~5章），介绍Python的起源和发展、发工具、语法基础、控制结构、复合数据结构、函数、科学计算库NumPy以及绘图工具Matplotlib等内容；第二部分为提高篇（第6~7章），深讲解了机器学习典型算法、神经网络典型算法以及它们的Python发实现过程；第三部分为高级篇（第8~10章），主要介绍了图像识别和人脸识别的原理方法以及它们的Python发实现过程。   《Python项目实战从门到精通》以人工智能中的机器学习和深度学习为载体，突出Python发技术的实际应用。在编写体例上，以问题为导向，注重知行合一，按照由简到难、由浅深、螺旋上升的方式设置学习内容，引导读者循序渐地掌握基本原理方法，并熟练运用Python。   本书可作为人工智能、机器学习、人脸识别等应用领域工程技术人员的参考手册，也可作为大中专院校人工智能、大数据科学与技术、自动化、机器人工程、智能仪器仪表、机电一体化等专业及社会培训班有关Python课程的培训教材。<br/>,python项目实战从入门到精通 《python项目实战从门到精通》全面讲述了python的基础知识和相关发技术。全书分为三部分，共10章。第壹部分为基础篇（第1~5章），介绍python的起源和发展、发工具、语法基础、控制结构、复合数据结构、函数、科学计算库numpy以及绘图工具matplotlib等内容；第二部分为提高篇（第6~7章），深讲解了机器学习典型算法、神经网络典型算法以及它们的python发实现过程；第三部分为高级篇（第8~10章），主要介绍了图像识别和人脸识别的原理方法以及它们的python发实现过程。   《python项目实战从门到精通》以人工智能中的机器学习和深度学习为载体，突出python发技术的实际应用。在编写体例上，以问题为导向，注重知行合一，按照由简到难、由浅深、螺旋上升的方式设置学习内容，引导读者循序渐地掌握基本原理方法，并熟练运用python。   本书可作为人工智能、机器学习、人脸识别等应用领域工程技术人员的参考手册，也可作为大中专院校人工智能、大数据科学与技术、自动化、机器人工程、智能仪器仪表、机电一体化等专业及社会培训班有关python课程的培训教材。<br/>,Python基础入门
27,俗说矩阵――线性代数详解（Python+MATLAB）,苏临之曹欣,苏临之曹欣,,2025,清华大学出版社,99.0,77.2,7.8,78%,743,从矩阵的本质理解线性代数,俗说矩阵――线性代数详解（python+matlab） 从矩阵的本质理解线性代数,高阶开发与配套基础
28,深度学习进阶 自然语言处理,[日]斋藤康毅,斋藤康毅,日,2020,人民邮电出版社,99.0,49.5,5.0,50%,3095,豆瓣评分9.4的畅销书《深度学习入门：基于Python的理论与实现》续作，带你快速直达自然语言处理领域！ 1.简明易懂 本书内容精炼，聚焦深度学习视角下的自然语言处理，延续前作的行文风格，采用通俗的语言和大量直观的示意图详细讲解，帮助读者加深对深度学习技术的理解，轻松入门自然语言处理。 2.侧重原理 不依赖外部库，使用Python 3从零开始创建深度学习程序，通过亲自创建程序并运行，读者可透彻掌握word2vec、RNN、LSTM、GRU、seq2seq和Attention等技术背后的运行原理。 3.学习曲线平缓 按照 文字介绍 代码实现 分析结果 发现问题 进行改善 的流程，逐步深入，读者只需具备基础的神经网络和Python知识，即可轻松读懂。 4.提供源代码 5.双色印刷,深度学习进阶 自然语言处理 豆瓣评分9.4的畅销书《深度学习入门：基于python的理论与实现》续作，带你快速直达自然语言处理领域！ 1.简明易懂 本书内容精炼，聚焦深度学习视角下的自然语言处理，延续前作的行文风格，采用通俗的语言和大量直观的示意图详细讲解，帮助读者加深对深度学习技术的理解，轻松入门自然语言处理。 2.侧重原理 不依赖外部库，使用python 3从零开始创建深度学习程序，通过亲自创建程序并运行，读者可透彻掌握word2vec、rnn、lstm、gru、seq2seq和attention等技术背后的运行原理。 3.学习曲线平缓 按照 文字介绍 代码实现 分析结果 发现问题 进行改善 的流程，逐步深入，读者只需具备基础的神经网络和python知识，即可轻松读懂。 4.提供源代码 5.双色印刷,Python基础入门
29,Python AI游戏编程入门――基于Pygame和PyTorch,肖凯,肖凯,,2024,人民邮电出版社,64.6,25.99,4.0,40%,320,机器学习算法专家基于学习规律而作 通过游戏发透彻讲解Python编程思路 拆解底层知识让读者理解AI训练的逻辑与方法 让读者在设计游戏的愉悦中学习人工智能知识,python ai游戏编程入门――基于pygame和pytorch 机器学习算法专家基于学习规律而作 通过游戏发透彻讲解python编程思路 拆解底层知识让读者理解ai训练的逻辑与方法 让读者在设计游戏的愉悦中学习人工智能知识,Python基础入门
30,线性代数与Python解法,徐子珊著,徐子珊著,,2024,人民邮电出版社,55.8,44.67,8.0,80%,236,好人工智能数学的基础。 用程序揭示数学之美。 国防科技大学博士团队审校，理论与实用结合。 104道例题全面诠释线性代数理论及方法。 108道练习题提升读者应用能力。 Python解法全覆盖内容所涉的知识。 内容涵盖现行理工科《线性代数》课程大纲，与同名课程无缝衔。,线性代数与python解法 好人工智能数学的基础。 用程序揭示数学之美。 国防科技大学博士团队审校，理论与实用结合。 104道例题全面诠释线性代数理论及方法。 108道练习题提升读者应用能力。 python解法全覆盖内容所涉的知识。 内容涵盖现行理工科《线性代数》课程大纲，与同名课程无缝衔。,高阶开发与配套基础
31,scikit-learn机器学习超入门,黄永昌,黄永昌,,2025,清华大学出版社,69.8,54.4,7.8,78%,157,拨开笼罩在机器学习知识上方复杂的数学 乌云 。 门槛超低，让数学功底薄弱的读者也可快速入门机器学习。 详解机器学习的应用场景、编程步骤、Python开发包和算法模型性能评估。 结合近100幅示意图，详解机器学习的8个常用算法的基本原理与应用。 通过20多个典型示例和8个综合应用实例，手把手带领读者进行应用实践。 提供79道典型习题，帮助读者巩固和自测所学知识，学习效果更好。 免费提供书中涉及的配套源代码和教学PPT等超值资源。 门槛超低：拨开笼罩在机器学习上方复杂的数学 乌云 ，让不具备深厚数学功底的读者也可以快速入门机器学习。 通俗易懂：尽量避免大篇幅讲解晦涩难懂的专业术语和数学公式，而是用平实的语言将机器学习常用算法的基本原理讲透，并结合大量的图示、示例和实例帮助读者理解，非常符合学习和认知规律。 内容丰富：,scikit-learn机器学习超入门 拨开笼罩在机器学习知识上方复杂的数学 乌云 。 门槛超低，让数学功底薄弱的读者也可快速入门机器学习。 详解机器学习的应用场景、编程步骤、python开发包和算法模型性能评估。 结合近100幅示意图，详解机器学习的8个常用算法的基本原理与应用。 通过20多个典型示例和8个综合应用实例，手把手带领读者进行应用实践。 提供79道典型习题，帮助读者巩固和自测所学知识，学习效果更好。 免费提供书中涉及的配套源代码和教学ppt等超值资源。 门槛超低：拨开笼罩在机器学习上方复杂的数学 乌云 ，让不具备深厚数学功底的读者也可以快速入门机器学习。 通俗易懂：尽量避免大篇幅讲解晦涩难懂的专业术语和数学公式，而是用平实的语言将机器学习常用算法的基本原理讲透，并结合大量的图示、示例和实例帮助读者理解，非常符合学习和认知规律。 内容丰富：,Python基础入门
32,Python从入门到全栈开发,钱超,钱超,,2022,清华大学出版社,80.0,70.0,8.8,88%,124,本书从Python基础知识始讲解，一直到发一个完整的实战项目，直到将发完毕的项目一步步发布到线上。其中涉及Python的编程基础、数据存储、数据可视化、数据爬取、Web前端技能、Web实战项目的发等，对Python应用所涉及的各个知识都行了详细的介绍。除了示例代码外，本书在每个重知识处都会给出完整的可运行的代码，并且每行新知识的代码处都会有详细的注释，代码前后都会有编写代码的思路及技巧，帮助读者快速全面地掌握Python的发技能，轻松快速地理解代码的运行机制及代码编写的思想。,python从入门到全栈开发 本书从python基础知识始讲解，一直到发一个完整的实战项目，直到将发完毕的项目一步步发布到线上。其中涉及python的编程基础、数据存储、数据可视化、数据爬取、web前端技能、web实战项目的发等，对python应用所涉及的各个知识都行了详细的介绍。除了示例代码外，本书在每个重知识处都会给出完整的可运行的代码，并且每行新知识的代码处都会有详细的注释，代码前后都会有编写代码的思路及技巧，帮助读者快速全面地掌握python的发技能，轻松快速地理解代码的运行机制及代码编写的思想。,Python基础入门
33,Python金融量化分析,肖建军、高拴平,肖建军、高拴平,,2024,清华大学出版社,79.8,62.2,7.8,78%,1642,前海开源基金合伙人王宏远和量化投资总监陆琦，以及摩根大通前中国投资银行主席龚方雄力荐。 将计量经济学与现代金融学理论融入金融量化分析与交易策略设计之中。 结合应用案例详解趋势追踪、小市值、海龟交易和网格交易等常用策略的实现方法。 详解金融量化分析需要掌握的大部分开源模块，包括Pandas、NumPy、TA-Lib、Empyrical、Mplfinance和Backtrader等，实现免费获取金融数据、清洗数据、存储数据和构建金融交易策略（回测）等需求。 书中的每个示例都按照 示例 实现代码 程序输出结果 程序说明 的模式进行讲解，思路清晰，易于理解。 不仅详细介绍各种常用量化交易策略代码的实现过程，而且对量化交易策略的实际回测结果给出说明，尽量避免出现 代码正确无误，而回测效果一塌糊涂 的情况。 结合208个典型示例讲解，每个示例均力求贴近实战需求，有较,python金融量化分析 前海开源基金合伙人王宏远和量化投资总监陆琦，以及摩根大通前中国投资银行主席龚方雄力荐。 将计量经济学与现代金融学理论融入金融量化分析与交易策略设计之中。 结合应用案例详解趋势追踪、小市值、海龟交易和网格交易等常用策略的实现方法。 详解金融量化分析需要掌握的大部分开源模块，包括pandas、numpy、ta-lib、empyrical、mplfinance和backtrader等，实现免费获取金融数据、清洗数据、存储数据和构建金融交易策略（回测）等需求。 书中的每个示例都按照 示例 实现代码 程序输出结果 程序说明 的模式进行讲解，思路清晰，易于理解。 不仅详细介绍各种常用量化交易策略代码的实现过程，而且对量化交易策略的实际回测结果给出说明，尽量避免出现 代码正确无误，而回测效果一塌糊涂 的情况。 结合208个典型示例讲解，每个示例均力求贴近实战需求，有较,数据分析与可视化
34,机器学习 全彩图解 + 微课 + Python编程 鸢尾花数学大系：从加减乘除到机器学习,姜伟生,姜伟生,,2024,清华大学出版社,238.0,226.1,9.5,95%,2189,这是一本前所未见的数据可视化入门书，颜值极高。姜伟生博士自谦 小镇做题家 ，实际上他是国际著名金融企业的金融科技专家。很难想象一位以 术数 为业的金融家具备如此彻底的分享动机，同时，姜博士有着卓越的艺术品位和设计能力，不仅承担了这套书的精深内容，更承担了全系图书的整体设计。希望读者从枯燥的常规数学书中解脱出来，赏心悦目地慢慢走入缤纷的AI宇宙。,机器学习 全彩图解 + 微课 + python编程 鸢尾花数学大系：从加减乘除到机器学习 这是一本前所未见的数据可视化入门书，颜值极高。姜伟生博士自谦 小镇做题家 ，实际上他是国际著名金融企业的金融科技专家。很难想象一位以 术数 为业的金融家具备如此彻底的分享动机，同时，姜博士有着卓越的艺术品位和设计能力，不仅承担了这套书的精深内容，更承担了全系图书的整体设计。希望读者从枯燥的常规数学书中解脱出来，赏心悦目地慢慢走入缤纷的ai宇宙。,Python基础入门
35,Python从入门到精通(第3版),明日科技,明日科技,,2023,清华大学出版社,85.3,80.82,9.5,95%,70,软件发视频大讲堂 丛书是清华社计算机专业基础类零售图书畅销品牌之一。 （1）2008 2023年，丛书累计修订7次，销售400万册，深受广大程序员喜爱。 （2）4本荣获 全行业优畅销书 奖，1本荣获清华社 专业畅销书 一等奖，多数品种在全国计算机零售图书排行榜排行中名列前茅。 （3）实用、易懂、资源丰富，被数百所高校选为专业课教材。 《Python从门到精通（第3版）》以长更新稳定版本Python 3.11.0为基础，图书特如下。 1. 学通Python只需要4步：基础知识 核心技术 高级应用 项目实战，符合认知规律。 2. 271集同步教学微课 强化实战训练 在线答疑，夯实基础，精准，有效，速练，适合自学。 3. 127个应用实例 32个综合练习 5个项目案例，学习1小时，训练10小时，从门到项目上线，真正成为Python高手。 4. 根据图书首页说明，扫描书中二维码，明日科技账号注册页面，填写,python从入门到精通(第3版) 软件发视频大讲堂 丛书是清华社计算机专业基础类零售图书畅销品牌之一。 （1）2008 2023年，丛书累计修订7次，销售400万册，深受广大程序员喜爱。 （2）4本荣获 全行业优畅销书 奖，1本荣获清华社 专业畅销书 一等奖，多数品种在全国计算机零售图书排行榜排行中名列前茅。 （3）实用、易懂、资源丰富，被数百所高校选为专业课教材。 《python从门到精通（第3版）》以长更新稳定版本python 3.11.0为基础，图书特如下。 1. 学通python只需要4步：基础知识 核心技术 高级应用 项目实战，符合认知规律。 2. 271集同步教学微课 强化实战训练 在线答疑，夯实基础，精准，有效，速练，适合自学。 3. 127个应用实例 32个综合练习 5个项目案例，学习1小时，训练10小时，从门到项目上线，真正成为python高手。 4. 根据图书首页说明，扫描书中二维码，明日科技账号注册页面，填写,Python基础入门
36,Python+ChatGPT办公自动化实战,杨永刚,杨永刚,,2024,人民邮电出版社,79.9,31.99,4.0,40%,62,一本写给追求高效的职场人士的编程门书，手把手讲解，让简洁的Python更加易学： 300多段代码完全提供 大幅提升读者学习效率 在线交流 PPT文档 思维导图 多形式为学习提供保障,python+chatgpt办公自动化实战 一本写给追求高效的职场人士的编程门书，手把手讲解，让简洁的python更加易学： 300多段代码完全提供 大幅提升读者学习效率 在线交流 ppt文档 思维导图 多形式为学习提供保障,办公自动化
37,Python数据可视化从入门到项目实践（超值版）,宋翔,宋翔,,2025,清华大学出版社,99.0,94.1,9.5,95%,196,本书特色 ? 《Python数据可视化从入门到项目实践:超值版》主要包括使用Python内置对象以及NumPy和Pandas中的核心对象为图表构建数据的方法、Matplotlib图表的整体组成、创建图表的基本流程和两种编程方式、设置Matplotlib默认选项、使用Matplotlib库创建图形和坐标系、设置图形外观、设置坐标轴、为数据点添加注释、添加图表标题和图例、添加网格线和参考线，以及将图表保存为图片文件、使用Matplotlib/Seaborn/Pyecharts三个库创建不同类型的图表，以及使用它们进行数据可视化项目实战等。 ? 《Python数据可视化从入门到项目实践:超值版》结构系统，内容细致，概念清晰，注重技术细节的讲解，通用操作和特定操作相辅相成，使读者可以在最短的时间内学会Python数据可视化编程。 ? 《Python数据可视化从入门到项目实践:超值版》赠送示例源代码、重点内容的多媒体视频教程和,python数据可视化从入门到项目实践（超值版） 本书特色 ? 《python数据可视化从入门到项目实践:超值版》主要包括使用python内置对象以及numpy和pandas中的核心对象为图表构建数据的方法、matplotlib图表的整体组成、创建图表的基本流程和两种编程方式、设置matplotlib默认选项、使用matplotlib库创建图形和坐标系、设置图形外观、设置坐标轴、为数据点添加注释、添加图表标题和图例、添加网格线和参考线，以及将图表保存为图片文件、使用matplotlib/seaborn/pyecharts三个库创建不同类型的图表，以及使用它们进行数据可视化项目实战等。 ? 《python数据可视化从入门到项目实践:超值版》结构系统，内容细致，概念清晰，注重技术细节的讲解，通用操作和特定操作相辅相成，使读者可以在最短的时间内学会python数据可视化编程。 ? 《python数据可视化从入门到项目实践:超值版》赠送示例源代码、重点内容的多媒体视频教程和,Python基础入门
38,深度学习初学者指南,(智)巴勃罗・里瓦斯(PabloRivas),巴勃罗・里瓦斯,智,2022,机械工业出版社,71.5,59.4,8.3,83%,47,网络上的信息呈指数级爆炸式增长，通过浏览网络信息获得有助于行深度学习的可靠内容变得比以往任何时候都要困难。如果你是一个初学者，希望从头始学习深度学习理论以及构建深度学习模型，并且已经具备了门所需的基本数学知识和编程知识，那么这本书正是你所需要的。 本书从机器学习的基本概述始，指导你建立流行的基于Python语言的深度学习程序框架。你还将了解如何实现对数据的清洗和预处理，以便使用数据样本行深度学习，并逐步探索神经网络的训练方法和应用技术。本书还将帮助你亲自动手训练单层和多层神经元，从而深理解神经网络模型的工作原理。稍后，你将在一些简单应用实例的帮助下掌握若干当前比较流行的神经网络架构，例如CNN、RNN、AE、VAE和GAN。你甚至将从头始构建这些模型。在每一章的结尾处有一个问答环节，可以帮助你测试对本,深度学习初学者指南 网络上的信息呈指数级爆炸式增长，通过浏览网络信息获得有助于行深度学习的可靠内容变得比以往任何时候都要困难。如果你是一个初学者，希望从头始学习深度学习理论以及构建深度学习模型，并且已经具备了门所需的基本数学知识和编程知识，那么这本书正是你所需要的。 本书从机器学习的基本概述始，指导你建立流行的基于python语言的深度学习程序框架。你还将了解如何实现对数据的清洗和预处理，以便使用数据样本行深度学习，并逐步探索神经网络的训练方法和应用技术。本书还将帮助你亲自动手训练单层和多层神经元，从而深理解神经网络模型的工作原理。稍后，你将在一些简单应用实例的帮助下掌握若干当前比较流行的神经网络架构，例如cnn、rnn、ae、vae和gan。你甚至将从头始构建这些模型。在每一章的结尾处有一个问答环节，可以帮助你测试对本,机器学习与深度学习
39,Python网络爬虫项目开发全程实录,明日科技,明日科技,,2025,清华大学出版社,75.8,54.26,7.2,72%,20,《Python网络爬虫项目发全程实录》精选 11个热门的网络爬虫项目，突出了实用性。具体项目包含：智能破解验证码、手机数据爬取精灵、汽车之家图片抓取工具、高清壁纸快车(多线程版)、多程影视猎手、分布式爬取动态新闻数据、世界 500 强数据爬取与分析、二手房信息智能抓取分析系统、图书热销侦探、APP 数据采集先锋、微信智能机器人。本书从软件工程的角度出发，按照项目发的顺序，系统、全面地讲解每一个项目的发实现过程。体例上，每章一个项目，统一采用“发背景一系统设计一技术准备一各功能模块的设计与实现一项目运行一源码下载”的形式完整呈现项目，让读者快速积累实际项目经验与技巧，早日实现就业目标。<br/>【推荐语】<br/>9787302695035<br/>【作者】<br/>明日科技，全称是吉林省明日科技有限公司，是一家专业从事软件发、教育培训以及软件发教育资源整合的高科技公司，其编写的教材非常注重选取软件发中的必需、常用内容，同时也很注重内容的易学、方便性以及相关知识的拓展性，深受读者喜爱。其教材多次荣获“全行业优秀畅销品种”“全国高校出版社优秀畅销书”等奖项，多个品种长期位居同类图书销售排行,python网络爬虫项目开发全程实录 《python网络爬虫项目发全程实录》精选 11个热门的网络爬虫项目，突出了实用性。具体项目包含：智能破解验证码、手机数据爬取精灵、汽车之家图片抓取工具、高清壁纸快车(多线程版)、多程影视猎手、分布式爬取动态新闻数据、世界 500 强数据爬取与分析、二手房信息智能抓取分析系统、图书热销侦探、app 数据采集先锋、微信智能机器人。本书从软件工程的角度出发，按照项目发的顺序，系统、全面地讲解每一个项目的发实现过程。体例上，每章一个项目，统一采用“发背景一系统设计一技术准备一各功能模块的设计与实现一项目运行一源码下载”的形式完整呈现项目，让读者快速积累实际项目经验与技巧，早日实现就业目标。<br/>【推荐语】<br/>9787302695035<br/>【作者】<br/>明日科技，全称是吉林省明日科技有限公司，是一家专业从事软件发、教育培训以及软件发教育资源整合的高科技公司，其编写的教材非常注重选取软件发中的必需、常用内容，同时也很注重内容的易学、方便性以及相关知识的拓展性，深受读者喜爱。其教材多次荣获“全行业优秀畅销品种”“全国高校出版社优秀畅销书”等奖项，多个品种长期位居同类图书销售排行,网络爬虫
40,认识编程――以Python语言讲透编程的本质,郭屹,郭屹,,2021,机械工业出版社,49.0,59.9,12.2,122%,228,"笔者作为资深的企业软件设计师和架构师,主持研发的产品PSA多次荣获软件技术和产品奖： 2002年获得全球年度发伙伴奖 2007年获得澳大利亚*佳第三方发伙伴奖 2014年获得非洲年度发伙伴奖 在超过二十年的职业生涯中，主持过多个国家大型系统研发： 2006年负责发中国Veolia Water项目管理系统 2007 年负责发加拿大Avantage项目及计费系统(ATBS) 2009年负责发埃塞俄比亚电信(ETC)运营系统 2013年负责发加纳民航局(GCAA)人力资源系统 作者通过Python程序解决一个个有趣的问题，让人充分理解程序是如何组织，程序是如何执行的。 深浅出的讲解，讲透了编程的本质。作为一个资深程序员，现在读来依然收获颇多。 崇中华(北京代码澎湃CTO) 这本书不同于那些枯燥乏味的编程教程，作者彷佛给我们展一幅生动的画卷，化繁为简，用深浅出通俗易懂的语言，引领读者推编程世界的大","认识编程――以python语言讲透编程的本质 笔者作为资深的企业软件设计师和架构师,主持研发的产品psa多次荣获软件技术和产品奖： 2002年获得全球年度发伙伴奖 2007年获得澳大利亚*佳第三方发伙伴奖 2014年获得非洲年度发伙伴奖 在超过二十年的职业生涯中，主持过多个国家大型系统研发： 2006年负责发中国veolia water项目管理系统 2007 年负责发加拿大avantage项目及计费系统(atbs) 2009年负责发埃塞俄比亚电信(etc)运营系统 2013年负责发加纳民航局(gcaa)人力资源系统 作者通过python程序解决一个个有趣的问题，让人充分理解程序是如何组织，程序是如何执行的。 深浅出的讲解，讲透了编程的本质。作为一个资深程序员，现在读来依然收获颇多。 崇中华(北京代码澎湃cto) 这本书不同于那些枯燥乏味的编程教程，作者彷佛给我们展一幅生动的画卷，化繁为简，用深浅出通俗易懂的语言，引领读者推编程世界的大",其他/跨领域融合
41,看漫画学Python：有趣、有料、好玩、好用(全彩版),关东升,关东升,,2020,电子工业出版社,70.3,31.99,4.6,46%,2267,看漫画学Python，有趣、简单！ 提供配套视频、定期答疑 小灰、大胡子、臧秀涛等力赞！ 关东升、赵大羽新作,看漫画学python：有趣、有料、好玩、好用(全彩版) 看漫画学python，有趣、简单！ 提供配套视频、定期答疑 小灰、大胡子、臧秀涛等力赞！ 关东升、赵大羽新作,青少年/趣味编程
42,Python高效办公――玩转Excel数据分析,郝春吉,郝春吉,,2025,清华大学出版社,89.0,69.4,7.8,78%,172,在数字化时代，数据处理已成为职场技能。《Python高效办公 玩转Excel数据分析》是一本专为职场办公人员、数据分析专业人员、大学生、科研人员和程序员量身定制的实用指南。本书以任务为导向，结合丰富的数据分析案例及实际编程经验，深入浅出地介绍如何使用Python语言对Excel进行高效的数据处理。主要特色如下： (1)任务导向，即学即用：结合实际数据分析案例，以任务为导向，帮助读者快速上手。所有案例配有完整程序源代码及运行结果，确保读者能够立即应用所学知识。 (2)内容全面，版本兼容：涵盖Python基础知识、.xls和.xlsx文件数据处理、数据可视化、程序界面设计、数据预处理等。所有案例均在Python 3.11.3版本上运行通过，确保最新技术兼容性。 (3)适用广泛，提升效率：深入浅出的讲解，适合初学者快速入门，也适合有一定基础的读者提升技能。掌握Py,python高效办公――玩转excel数据分析 在数字化时代，数据处理已成为职场技能。《python高效办公 玩转excel数据分析》是一本专为职场办公人员、数据分析专业人员、大学生、科研人员和程序员量身定制的实用指南。本书以任务为导向，结合丰富的数据分析案例及实际编程经验，深入浅出地介绍如何使用python语言对excel进行高效的数据处理。主要特色如下： (1)任务导向，即学即用：结合实际数据分析案例，以任务为导向，帮助读者快速上手。所有案例配有完整程序源代码及运行结果，确保读者能够立即应用所学知识。 (2)内容全面，版本兼容：涵盖python基础知识、.xls和.xlsx文件数据处理、数据可视化、程序界面设计、数据预处理等。所有案例均在python 3.11.3版本上运行通过，确保最新技术兼容性。 (3)适用广泛，提升效率：深入浅出的讲解，适合初学者快速入门，也适合有一定基础的读者提升技能。掌握py,Python基础入门
